"EC","AS000061","TIW","Tiwaeno","SETW","-1.3205000162124634","-77.454833984375","1139","03/21","2Grass","560","15","0%","0"
"EC","AS000062","SKA","Suraka","SEEK","-1.9546666145324707","-76.555335998535156","750","07/25","3Dirt/grass","500","15","0%","0"
"EC","AS000063","WIR","Wiririma","SEWM","-1.9583333730697632","-76.14666748046875","775","02/20","3Grass","662","25","0%","0"
"EC","AS000064","SHM","Shaime","SEHX","-1.9264999628067017","-77.504997253417969","1500","16/34","3Dirt/grass","487","17","0%","0"
"EC","AS000065","SJO","San","Jose","de","Curaray","SEDC","-1.3836666345596313","-76.956169128417969","900","03/21","3Gravel","540","10","0%","0"
"EC","AS000066","TZP","Tzapino","SEZN","-1.1883333921432495","-77.230499267578125","1080","17/35","3Grass","650","13","0%","0"
"EC","AS000070","CTX","Cononaco","Texaco","SECT","-1.0","-76.9393310546875","1000","14/32","3Asphalt","405","15","0%","0"
"EC","AS000071","CMB","Cumbantza","SEUB","-2.2425000667572021","-77.664497375488281","2100","09/27","3Dirt/Grass","377","19","1%","0"
"EC","AS000072","CBR","Cumbaratza","SEBZ","-4.021111011505127","-78.887832641601563","2860","05/23","1Asphalt","1420","23","0%","0"
"EC","AS000074","CRZ","Curintza","Nuevo","SENQ","-2.0798332691192627","-76.791000366210938","1000","15/33","2Dirt","650","21","0%","0"
"EC","AS000075","CRA","Curintza","Sur","SEQS","-2.4158332347869873","-77.366836547851562","1200","01/19","3Dirt","448","20","0%","0"
"EC","AS000077","CUY","Cuyacocha","SEYH","-1.6158334016799927","-76.942169189453125","900","06/24","3Dirt","567","15","0%","0"
"EC","AS000078","DAM","Damointaro","SEDM","-1.2948333024978638","-77.319664001464844","1100","06/24","3Grass","509","21","0.50%","0"
"EC","AS000079","GLZ","Gualaquiza","SEGZ","-3.4228334426879883","-78.558830261230469","2640","15/33","1Asphalt","2012","26","1%","0"
"EC","AS000080","GRN","Guarani","SEGR","-2.2351665496826172","-77.240501403808594","1100","12/30","2Sand","820","25","0%","0"
"EC","AS000081","IMA","Imatino","SEZI","-1.9171665906906128","-76.626167297363281","800","14/32","2Grass","520","12","0%","0"
"EC","AS000082","INY","Inaywa","SEIE","-2.1626665592193604","-77.48516845703125","1600","13/31","3Dirt/grass","490","15","2%","0"
"EC","AS000083","INW","Inaywa","Sur","SEIY","-2.748166561126709","-77.443336486816406","1000","02/20","2Grass","500","20","0"
"EC","AS000084","IPI","Ipiak","SEIP","-2.4704999923706055","-77.146835327148438","800","18/36","2Dirt","610","33","0%","0"
"EC","AS000085","ISP","Ishpingo","SEID","-2.5664999485015869","-76.757331848144531","1000","12/30","2Dirt","530","25","0%","0"
"EC","AS000086","ISH","Ishpink","SEIH","-2.3161666393280029","-77.409835815429688","1300","11/29","3Dirt","500","20","0%","0"
"EC","AS000087","JEM","Jempentza","SEJE","-2.7455000877380371","-77.487503051757813","1000","18/36","3Grass","400","20","0%","0"
"EC","AS000088","JIM","Jimiarentza","SEJZ","-2.5179998874664307","-77.431503295898437","1000","17/35","2Dirt","600","25","0%","0"
"EC","AS000089","JYU","Juyuintsa","SEJY","-2.1166665554046631","-76.201835632324219","700","12/30","2Dirt/Grass","570","21","0%","0"
"EC","AS000090","JUY","Juyukamentza","SEJK","-2.7195000648498535","-77.242332458496094","970","13/31","2Dirt","730","20","0%","0"
"EC","AS000091","JUM","Jumandi","SEJD","-1.059999942779541","-77.580001831054687","1235","09/27","1Asphalt","2500","45","0.45%","0"
"EC","AS000092","KAN","Kaan","SEKA","-2.874500036239624","-77.8681640625","1100","18/36","3Grass","420","12","0%","0"
"EC","AS000093","KAI","Kaiptach","SEKC","-2.6394999027252197","-77.128501892089844","900","07/25","2Dirt","866","25","0%","0"
"EC","AS000094","KAM","Kambantsa","SEXK","-2.0141665935516357","-76.83233642578125","1100","17/35","3Dirt/Grass","450","20","0%","0"
"EC","AS000095","KAT","Kaniats","SEKN","-2.7106666564941406","-77.505332946777344","1000","01/19","3Dirt","500","20","0%","0"
"EC","AS000096","KAP","Kapatinentza","SEKP","-2.6801667213439941","-77.477668762207031","1000","16/34","2Dirt","870","20","0%","0"
"EC","AS000097","KPW","Kapawi","SEKW","-2.5343334674835205","-76.842330932617188","900","02/20","2Dirt","850","29","0%","0"
"EC","AS000098","KPT","Kapitian","SEIT","-2.7269999980926514","-77.537498474121094","900","07/25","3Dirt","500","25","0%","0"
"EC","AS000099","KAR","Karink","SEKR","-2.0195000171661377","-77.7239990234375","2150","16/34","3Dirt","465","22","","1%","0"
"EC","AS000100","KAH","Kashaints","SE","-2.6981666088104248","-77.5364990234375","1000","01/19","3Dirt","450","18","0%","0"
"EC","AS000101","KAS","Kaspaim","SEKS","-2.8264999389648438","-77.710662841796875","900","18/36","3Grass","450","18","0%","0"
"EC","AS000102","KAW","Kawa","SEWX","-2.0013332366943359","-77.669334411621094","2150","08/26","3Dirt","550","18","0%","0"
"EC","AS000103","KAY","Kayamentza","SEKY","-2.0038332939147949","-77.736663818359375","2200","16/34","3Dirt","433","14","2%","0"
"EC","AS000104","KYN","Kayantza","SEKZ","-2.1743333339691162","-77.368331909179688","1300","09/27","3Dirt/Rocks","590","25","0%","0"
"EC","AS000105","KUA","Kuakash","SEKH","-2.0336666107177734","-77.671333312988281","2000","05/23","3Grass","450","20","0%","0"
